Time,x(t),dx(t),ddx(t)
2.451225613,-0.076248649,-0.049195766,-0.009291251
2.501250625,-0.062353796,-0.040564822,-0.051213968
2.551275638,-0.086575117,-0.058416952,-0.08083573
2.60130065,-0.084410755,-0.058327637,-0.050026951
2.651325663,-0.080464785,-0.05492634,0.000206091
2.701350675,-0.084513989,-0.054420024,0.055110766
2.751375688,-0.077313194,-0.04469353,0.092899543
2.8014007,-0.102836455,-0.050761534,0.160661514
2.851425713,-0.087901013,-0.035235854,0.150254189
2.901450725,-0.102113328,-0.031591212,0.170304247
2.951475738,-0.089075105,-0.020156943,0.133052526
3.00150075,-0.121368709,-0.018882324,0.152385469
3.051525763,-0.115739321,-0.011345065,0.117847303
3.101550775,-0.121335305,-0.006280803,0.100867866
3.151575788,-0.122705283,-0.001618189,0.088697491
3.2016008,-0.094248072,0.002076207,0.065804417
3.251625813,-0.091553784,0.00530459,0.068115309
3.301650825,-0.120316007,0.0117443,0.100462529
3.351675838,-0.098045238,0.013998669,0.092364051
3.40170085,-0.10683364,0.020708441,0.111009937
3.451725863,-0.091476046,0.022882703,0.101332229
3.501750875,-0.090361728,0.02805319,0.10296228
3.551775888,-0.102389313,0.038226084,0.116211741
3.6018009,-0.074394783,0.032557933,0.082016504
3.651825913,-0.097578321,0.049051354,0.102846774
3.701850925,-0.092719897,0.052709403,0.092972603
3.751875938,-0.080954049,0.051459112,0.077706341
3.80190095,-0.082867234,0.058456264,0.077310364
3.851925963,-0.081095789,0.063203843,0.075000087
3.901950975,-0.078270724,0.067263494,0.073116184
3.951975988,-0.078126579,0.074017233,0.074703477
4.002001001,-0.06386553,0.066774653,0.062873063
4.052026013,-0.083564424,0.096604957,0.084587578
4.102051026,-0.060649167,0.077720316,0.062705939
4.152076038,-0.057117554,0.08139294,0.059735156
4.202101051,-0.064112314,0.101999445,0.067107283
4.252126063,-0.040310793,0.071970416,0.04182333
4.302151076,-0.053544461,0.108014304,0.054664978
4.352176088,-0.040660007,0.093527681,0.040685396
4.402201101,-0.033712526,0.089529873,0.033057458
4.452226113,-0.027377208,0.085391611,0.026400386
4.502251126,-0.022685983,0.085144555,0.021656255
4.552276138,-0.020355596,0.095271329,0.019403721
4.602301151,-0.016566243,0.102299913,0.015927908
4.652326163,-0.01181387,0.106430995,0.011598515
4.702351176,-0.006259827,0.103301006,0.006431089
4.752376188,-0.001004051,0.095674652,0.001401054
4.802401201,0.004519043,0.114267633,-0.003925491
4.852426213,0.011431491,0.127333686,-0.010808308
4.902451226,0.016130387,0.114848416,-0.015716001
4.952476238,0.018328882,0.095541146,-0.018154995
5.002501251,0.025145999,0.102953515,-0.025144841
5.052526263,0.030447276,0.102183321,-0.030593784
5.102551276,0.039006147,0.110393767,-0.03925841
5.152576288,0.037033981,0.0901694,-0.037257733
5.202601301,0.038804476,0.0824734,-0.038978357
5.252626313,0.052840333,0.099104183,-0.052974299
5.302651326,0.053957721,0.090039246,-0.053997445
5.352676338,0.049890755,0.074528268,-0.049860564
5.402701351,0.064483515,0.08662359,-0.064395012
5.452726363,0.076006827,0.09210883,-0.075885332
5.502751376,0.063296257,0.069334586,-0.063207
5.552776388,0.06527085,0.064686003,-0.065207158
5.602801401,0.075342576,0.067546483,-0.075307894
5.652826413,0.083723173,0.067824659,-0.08372357
5.702851426,0.080857391,0.059058659,-0.080884636
5.752876438,0.093909083,0.061634008,-0.093956482
5.802901451,0.089271837,0.052396874,-0.089318092
5.852926463,0.098497242,0.051368309,-0.098538247
5.902951476,0.085061168,0.03908053,-0.085082587
5.952976488,0.08216132,0.032877731,-0.08216757
6.003001501,0.09217262,0.031635282,-0.092166077
6.053026513,0.083883521,0.024175634,-0.083869604
6.103051526,0.102231104,0.02399978,-0.102210473
6.153076538,0.079227145,0.014463506,-0.079212441
6.203101551,0.095494642,0.012538319,-0.095481905
6.253126563,0.097679106,0.007883317,-0.097672759
6.303151576,0.090280841,0.002755158,-0.090280935
6.353176588,0.097772328,-0.001908594,-0.097777338
6.403201601,0.100680629,-0.007013321,-0.100688572
6.453226613,0.112873973,-0.013561704,-0.112883402
6.503251626,0.089085646,-0.015255908,-0.089091833
6.553276638,0.101976517,-0.022764575,-0.101980967
6.603301651,0.102639989,-0.028368749,-0.102641403
6.653326663,0.095567768,-0.031636607,-0.095566512
6.703351676,0.089380528,-0.034637364,-0.089377687
6.753376688,0.081631958,-0.036428274,-0.081628709
6.803401701,0.107032306,-0.054335722,-0.107028281
6.853426713,0.088193977,-0.05047055,-0.088191531
6.903451726,0.08226246,-0.052704744,-0.082261307
6.953476738,0.099536462,-0.071034049,-0.099536416
7.003501751,0.08084014,-0.064026556,-0.080840979
7.053526763,0.095144111,-0.083427336,-0.095145615
7.103551776,0.06217216,-0.060274754,-0.062173205
7.153576788,0.067196539,-0.072005214,-0.06719751
7.203601801,0.056142005,-0.06654035,-0.056142522
7.253626813,0.060371332,-0.079280103,-0.060371562
7.303651826,0.056304186,-0.082159926,-0.056304139
7.353676838,0.050377229,-0.082026118,-0.050376992
7.403701851,0.048691835,-0.088972849,-0.048691506
7.453726863,0.042146435,-0.087090273,-0.042146142
7.503751876,0.038915082,-0.091865534,-0.038914835
7.553776888,0.032036026,-0.087581676,-0.032035899
7.603801901,0.034184724,-0.110259136,-0.034184709
7.653826913,0.022244824,-0.086894104,-0.022244811
7.703851926,0.020527442,-0.100958092,-0.020527409
7.753876938,0.013327364,-0.087844675,-0.01332726
7.803901951,0.00928029,-0.091991511,-0.00928019
7.853926963,0.004723064,-0.093415318,-0.004722945
7.903951976,4.90E-05,-0.099552058,-4.89E-05
7.953976988,-0.005082562,-0.102525273,0.005082491
8.004002001,-0.008917283,-0.089272411,0.008917116
8.054027014,-0.014412304,-0.09563006,0.014412075
8.104052026,-0.018020704,-0.089078157,0.018020504
8.154077039,-0.022342369,-0.087633893,0.022342224
8.204102051,-0.033155281,-0.107311921,0.033155178
8.254127064,-0.029751049,-0.081583591,0.029751018
8.304152076,-0.039551202,-0.093623546,0.039551201
8.354177089,-0.051302782,-0.106277209,0.051302676
8.404202101,-0.054174801,-0.099223308,0.054174601
8.454227114,-0.054952942,-0.089674126,0.054952517
8.504252126,-0.056853465,-0.083136671,0.056852898
8.554277139,-0.065535101,-0.086237054,0.06553428
8.604302151,-0.067378995,-0.080018207,0.067378276
8.654327164,-0.078537562,-0.084324071,0.078537048
8.704352176,-0.071393917,-0.069351615,0.071393803
8.754377189,-0.083372809,-0.073251095,0.083373057
8.804402201,-0.076446697,-0.060669613,0.076447166
8.854427214,-0.097595203,-0.069793986,0.097595837
8.904452226,-0.083515431,-0.05362367,0.083515866
8.954477239,-0.073341573,-0.042066917,0.073341794
9.004502251,-0.090607668,-0.04610975,0.090607725
9.054527264,-0.099125246,-0.044351416,0.099125264
9.104552276,-0.109343889,-0.042497062,0.109343997
9.154577289,-0.086202176,-0.028629964,0.086202365
9.204602301,-0.080252051,-0.02226557,0.080252335
9.254627314,-0.103325982,-0.023172233,0.103326381
9.304652326,-0.1040478,-0.017923506,0.104048093
9.354677339,-0.086017457,-0.010421058,0.086017649
9.404702351,-0.097313891,-0.006875723,0.097314056
9.454727364,-0.097988267,-0.002010298,0.097988385
9.504752376,-0.109137736,0.003221834,0.1091378
9.554777389,-0.09640226,0.007683783,0.096402228
9.604802401,-0.095679309,0.012466261,0.095679202
9.654827414,-0.100396863,0.01822636,0.100396712
9.704852426,-0.084696136,0.019796392,0.084695996
9.754877439,-0.115393357,0.033136521,0.115393095
9.804902451,-0.104364827,0.035708138,0.104364536
9.854927464,-0.087121169,0.034765678,0.087120944
9.904952476,-0.081460078,0.037330896,0.081459815
9.954977489,-0.08018486,0.041718282,0.080184693
10.0050025,-0.092161185,0.053969312,0.092161091
10.05502751,-0.075868229,0.049683349,0.075868256
10.10505253,-0.07949352,0.057936987,0.079493688
10.15507754,-0.065188015,0.052697448,0.065188163
10.20510255,-0.079253015,0.070905221,0.079253218
10.25512756,-0.075877164,0.075045414,0.075877323
10.30515258,-0.066832298,0.073063751,0.066832343
10.35517759,-0.06552586,0.07925415,0.065525878
10.4052026,-0.065112821,0.087301201,0.065112772
10.45522761,-0.057130957,0.085177526,0.057130929
10.50525263,-0.055989957,0.093239532,0.055989993
10.55527764,-0.04199184,0.078582911,0.04199188
10.60530265,-0.044666148,0.094696373,0.044666259
10.65532766,-0.039163353,0.09508348,0.039163472
10.70535268,-0.037759325,0.106512353,0.037759455
10.75537769,-0.028998783,0.0969436,0.028998906
10.8054027,-0.023807825,0.097020918,0.023807907
10.85542771,-0.018047845,0.093535794,0.018047925
10.90545273,-0.016243577,0.114781561,0.016243675
10.95547774,-0.006973622,0.076795992,0.006973694
11.00550275,-0.004296949,0.10595117,0.004297073
11.05552776,0.000955531,0.10067135,-0.000955403
11.10555278,0.005890374,0.098853863,-0.00589024
11.15557779,0.010665411,0.096974523,-0.010665282
11.2056028,0.01593954,0.099043631,-0.015939414
11.25562781,0.021993871,0.103395831,-0.021993749
11.30565283,0.023838338,0.089749137,-0.023838234
11.35567784,0.0311554,0.097381288,-0.031155281
11.40570285,0.036751887,0.097738667,-0.03675177
11.45572786,0.03635123,0.083707619,-0.036351104
11.50575288,0.047015877,0.094963243,-0.047015733
11.55577789,0.050992101,0.09121709,-0.050991955
11.6058029,0.049287096,0.078654972,-0.049286959
11.65582791,0.050910416,0.072874054,-0.05091031
11.70585293,0.056815624,0.073233887,-0.056815497
11.75587794,0.066635898,0.07755099,-0.066635774
11.80590295,0.068962031,0.072576567,-0.068961929
11.85592796,0.083243596,0.079262524,-0.083243441
11.90595298,0.073640228,0.063408664,-0.073640123
11.95597799,0.07256169,0.056414973,-0.072561566
12.006003,0.088068928,0.06166192,-0.088068789
12.05602801,0.077056949,0.048397292,-0.077056869
12.10605303,0.081045592,0.045416608,-0.081045468
12.15607804,0.083333501,0.04136589,-0.083333411
12.20610305,0.0647683,0.02820657,-0.064768227
12.25612806,0.099740256,0.037622842,-0.099740139
12.30615308,0.105080613,0.03373904,-0.105080543
12.35617809,0.106409187,0.028381805,-0.106409063
12.4062031,0.117252105,0.025068664,-0.117252004
12.45622811,0.11459075,0.018563761,-0.114590672
12.50625313,0.096916833,0.010760984,-0.096916737
12.55627814,0.111866289,0.006782382,-0.111866236
12.60630315,0.099890969,0.001051914,-0.099890886
12.65632816,0.096508949,-0.003813582,-0.096508889
12.70635318,0.092885699,-0.008337391,-0.092885691
12.75637819,0.097227294,-0.013656321,-0.097227225
12.8064032,0.102333521,-0.01963512,-0.102333495
12.85642821,0.113494854,-0.027725354,-0.113494803
12.90645323,0.103724582,-0.030909806,-0.103724536
12.95647824,0.087781878,-0.031016619,-0.087781889
13.00650325,0.083575174,-0.034321742,-0.083575138
